BIANA ID	UniProt ID	genesymbol	description	geneid	Equivalent Entries
405882	Q86YI8	PHF13	PHD finger protein 13	148479	Q8N551; Q9UJP2; B3KUQ7; Q59FB6; Q5TH65; KEGG::148479
542831	Q5JTZ9	AARS2	Alanine--tRNA ligase, mitochondrial	57505	Q96D02; Q8N198; A2RRN5; Q9ULF0; KEGG::57505
598839	Q9NQH7	XPNPEP3	Probable Xaa-Pro aminopeptidase 3	63929	B7Z790; B7Z7B2; B2R9G1; Q9BV27; Q6I9V9; Q9BVH0; Q8NDA6; KEGG::63929
203817	P07316	CRYGB	Gamma-crystallin B	1419	Q17RB5; Q53ST2; KEGG::1419
294709	P0C6E5	-	Putative high mobility group protein B3-like protein	-	-
407996	Q9GZP4	PITHD1	PITH domain-containing protein 1	57095	Q9NRI8; B2R7J4; Q5QPN7; Q5QPN6; KEGG::57095
2729605	Q6NS36	FTH1	-	-	-
2729603	Q6NR77	-	-	-	-
2729602	Q6N0B2	DKFZp686G18136	-	-	-
534701	Q86WD7	SERPINA9	Serpin A9	327657	Q86WD6; Q86WD4; Q86WD5; B9ZVX3; B4DVH4; Q6UWP9; Q2T9J2; Q86YP6; Q86YP7; KEGG::327657
534705	Q96KW9	SPACA7	Protein SPACA7	122258	Q5T8L1; KEGG::122258
381874	Q12908	SLC10A2	Ileal sodium/bile acid cotransporter	6555	A1L4F4; Q13839; KEGG::6555
89909	Q6T423	SLC22A25; UST6	Solute carrier family 22 member 25	387601	A4IF29; A4FU27; KEGG::387601
591332	Q5SQQ9	VAX1	Ventral anterior homeobox 1	11023	B1AVW5; Q6ZSX0; KEGG::11023
89903	P0CV98; Q01534	LOC728395; TSPY1; TSPY10; TSPY3	Testis-specific Y-encoded protein 1; Testis-specific Y-encoded protein 3	7258; 728137; 100289087	F2Z2I4; Q0VAD3; Q540R4; A6NJD2; P09002; Q9UNN7; A4FUW6; O00216; A4FUW6,Q0; KEGG::728137; KEGG::7258; KEGG::100289087
89902	Q8NBT0	POC1A; WDR51A	POC1 centriolar protein homolog A	25886	Q9UFJ8; Q2TAK6; E9PFC6; Q96IK6; Q0VDF8; A4FUW4; KEGG::25886
182869	Q9BUN5	CCDC28B	Coiled-coil domain-containing protein 28B	79140	Q8TBV8; A8K789; KEGG::79140
182868	Q8IWP9	CCDC28A	Coiled-coil domain-containing protein 28A	25901	Q9Y430; Q32NC7; Q66K67; Q96E23; E1P591; KEGG::25901
360294	P49914	MTHFS	5-formyltetrahydrofolate cyclo-ligase	10588	Q96EE9,P4; KEGG::10588
136338	Q9NPC4	A4GALT	Lactosylceramide 4-alpha-galactosyltransferase	53947	Q9P1X5; B2R7C4; KEGG::53947
227920	Q9BVM2	DPCD	Protein DPCD	25911	Q8N5R1; A8K289; Q9UFY6; Q6QNL3; KEGG::25911
78044	P47869	GABRA2	Gamma-aminobutyric acid receptor subunit alpha-2	2555	Q59G14; A8K0U7; A8K0U7,P4; KEGG::2555
269012	Q8IVS8	GLYCTK	Glycerate kinase	132158	Q6Y2K6; Q7Z6G5; Q8WTY2; Q8TED2; Q86YR8; Q2EZ43; Q0P630; KEGG::132158
78041	P14867	GABRA1	Gamma-aminobutyric acid receptor subunit alpha-1	2554	D3DQK6; P14867,A8; Q8N629; A8K177; KEGG::2554
109732	Q15942	ZYX	Zyxin	7791	Q15942,Q9; Q6I9S4; Q96AF9; A4D2G6; KEGG::7791
577113	B1AH88; P30536	TSPO	Putative peripheral benzodiazepine receptor-related protein	-	Q6IAZ7; Q13849
246856	P00451	F8	Coagulation factor VIII; Factor VIIIa heavy chain, 200 kDa isoform; Factor VIIIa heavy chain, 92 kDa isoform; Factor VIII B chain; Factor VIIIa light chain	2157	Q14286; P00451,Q1; Q5HY69; KEGG::2157
412673	Q9UKY4	POMT2	Protein O-mannosyl-transferase 2	29954	Q9NSG6; Q9P1W0; Q9P1W2; KEGG::29954
569659	Q9Y2W1	THRAP3	Thyroid hormone receptor-associated protein 3	9967	Q5VTK6; D3DPS5; KEGG::9967
2735296	Q8TEG0	FLJ00237	-	-	-
399998	P13667	PDIA4	Protein disulfide-isomerase A4	9601	Q549T6; P13667,Q5; A8K4K6; KEGG::9601
399990	P30101	PDIA3	Protein disulfide-isomerase A3	2923	Q14255; Q13453; Q9UMU7; Q8IYF8; KEGG::2923
199812	P53621	COPA	Coatomer subunit alpha; Xenin; Proxenin	1314	Q8IXZ9; Q5T201; KEGG::1314
279681	P30550	GRPR	Gastrin-releasing peptide receptor	2925	B2R910; KEGG::2925
77177	P21217	FUT3	Galactoside 3(4)-L-fucosyltransferase	2525	B5U7U9; B5U7V0; Q32NE7; A8K737; Q99449; Q99448; KEGG::2525
239387	Q86SQ3	EMR4P	Putative EGF-like module-containing mucin-like hormone receptor-like 4	-	Q86SP1
239386	Q9BY15	EMR3	EGF-like module-containing mucin-like hormone receptor-like 3; EGF-like module-containing mucin-like hormone receptor-like 3 subunit alpha; EGF-like module-containing mucin-like hormone receptor-like 3 subunit beta	84658	KEGG::84658
154175	P40616	ARL1	ADP-ribosylation factor-like protein 1	400	P80417; P40616,Q5; Q53XB1; KEGG::400
391940	O95047	OR2A4	Olfactory receptor 2A4	79541	Q9NQN0; Q6IF18; Q0VAR3; KEGG::79541
391941	Q96R48	OR2A5	Olfactory receptor 2A5	393046	O43885; B9EGX2; O43888; KEGG::393046
391942	Q96R45	OR2A7	Olfactory receptor 2A7	401427	B2RN57; Q6IFP4; KEGG::401427
391946	P59922	OR2B8P	Putative olfactory receptor 2B8	-	-
391947	Q5JQS5	OR2B11	Olfactory receptor 2B11	127623	B2RP03; KEGG::127623
397733	Q9Y6F1	PARP3	Poly [ADP-ribose] polymerase 3	10039	Q8NER9; Q96CG2; Q9UG81; KEGG::10039
397737	Q2NL67	PARP6	Poly [ADP-ribose] polymerase 6	56965	Q9UFG4; Q9H7C5; Q9NPS6; Q9H9X6; Q9HAF3; KEGG::56965
397736	Q9UKK3	PARP4	Poly [ADP-ribose] polymerase 4	143	Q9UKK3,Q5; Q9H1M6; O75903; Q5QNZ9; Q14682; KEGG::143
522544	P78381	SLC35A2	UDP-galactose translocator	7355	Q92553; A8K9V1; P78381,Q8; A8K2L9; Q8IV21; KEGG::7355
640140	Q9NZV7	ZIM2	Zinc finger imprinted 2	23619	Q2M3K1; KEGG::23619
154170	Q0P5N6	ARL16	ADP-ribosylation factor-like protein 16	339231	KEGG::339231
226540	Q8WWF6	DNAJB3	DnaJ homolog subfamily B member 3	414061	KEGG::414061
372401	Q9NXR1	NDE1	Nuclear distribution protein nudE homolog 1	54820	Q49AQ2; KEGG::54820
226543	Q9UDY4	DNAJB4	DnaJ homolog subfamily B member 4	11080	Q13431; B2R824; KEGG::11080
212634	O76096	CST7	Cystatin-F	8530	Q9UED4; Q7Z4J8; Q6FH95; KEGG::8530
484185	Q8N8N0	RNF152	E3 ubiquitin-protein ligase RNF152	220441	B3KV99; Q52LA4; KEGG::220441
407415	Q9NWS0	PIH1D1	PIH1 domain-containing protein 1	55011	Q9BVL0; B4E2X7; Q9NWS0,Q9; B4DGN7; KEGG::55011
407410	Q86VD9	PIGZ	GPI mannosyltransferase 4	80235	Q9H9G6; KEGG::80235
2681774	E7ETZ0	CALM1	-	-	-
100979	Q99784	OLFM1	Noelin	10439	Q969S7; A8MPW0; Q6IMJ7; Q99452; Q6IMJ4; Q6IMJ8; Q53XZ8; KEGG::10439
162232	Q96DT6	ATG4C	Cysteine protease ATG4C	84938	Q96K04; A6NLR8; D3DQ58; KEGG::84938
320338	Q86VH2	KIF27	Kinesin-like protein KIF27	55582	Q86VH1; Q86VH0; B2RTR8; Q5T6W0; Q9UF54; KEGG::55582
320337	Q9UIL4	KIF25	Kinesin-like protein KIF25	3834	O94775; Q5SZU9; KEGG::3834
320335	Q5T7B8	KIF24	Kinesin-like protein KIF24	347240	Q6ZU97; Q86XZ0; Q9NV43; Q2TB93; Q5T7B5; Q5T7B7; Q6ZUZ2; KEGG::347240
320334	Q02241	KIF23	Kinesin-like protein KIF23	9493	Q8WVP0; KEGG::9493
287634	P36551	CPOX	Coproporphyrinogen-III oxidase, mitochondrial	1371	Q53F08; Q8IZ45; Q96AF3; A8K275; Q14060; KEGG::1371
321689	A8MUX0	KRTAP16-1	Keratin-associated protein 16-1	100505753	KEGG::100505753
321680	Q3LI77	KRTAP13-4	Keratin-associated protein 13-4	284827	A2RRL3; KEGG::284827
321686	Q3LI76	KRTAP15-1	Keratin-associated protein 15-1	254950	Q2M3F4; KEGG::254950
184856	Q8N5G0	C4orf52	Uncharacterized protein C4orf52	389203	Q9BRT5; C9JYT8; KEGG::389203
184857	Q6YHK3	CD109	CD109 antigen	135228	Q8N3A7; Q8TDJ3; Q0P6K7; Q6MZI7; B3KW25; Q5SYA8; Q8N915; Q5XUM7; B2R948; Q5XUM9; A5YKK4; Q8TDJ2; KEGG::135228
184852	Q6ZRC1	C4orf50	Uncharacterized protein C4orf50	389197	KEGG::389197
184858	P21127	CDK11B	Cyclin-dependent kinase 11B	984	Q9UP57; Q12817; Q8N530; Q12819; Q12818; Q9UBR0; Q12820; Q9UP59; Q12822; Q9UBQ1; Q9UNY2; O95265; Q9NZS5; Q9UP58; Q9UBJ0; KEGG::984
252591	Q9BVA6	FICD	Adenosine monophosphate-protein transferase FICD	11153	O75406; KEGG::11153
399569	Q8NBP7	PCSK9	Proprotein convertase subtilisin/kexin type 9	255738	Q5SZQ2; C0JYY9; A8T640; Q5PSM5; KEGG::255738
556548	O75529	TAF5L	TAF5-like RNA polymerase II p300/CBP-associated factor-associated factor 65 kDa subunit 5L	27097	Q5TDI6; Q5TDI5; Q8IW31; KEGG::27097
310945	Q6UXK2	ISLR2	Immunoglobulin superfamily containing leucine-rich repeat protein 2	57611	A8K352; Q9P263; KEGG::57611
2692472	O94763	URI1	-	-	F8W9T0; Q6NX55
280484	P48507	GCLM	Glutamate--cysteine ligase regulatory subunit	2730	D3DT45; Q9NPX9; Q6FHC1; Q9NU74; A8K334; KEGG::2730
2730430	P20151	KLK2	-	-	Q6T775
542564	Q53LP3	SOWAHC	Ankyrin repeat domain-containing protein SOWAHC	65124	Q8NE15; Q9H6U1; KEGG::65124
394434	Q15102	PAFAH1B3	Platelet-activating factor acetylhydrolase IB subunit gamma	5050	Q53X88; KEGG::5050
89578	P42167; P42166; Q59G12	TMPO	Lamina-associated polypeptide 2, isoform alpha; Thymopoietin; Thymopentin; Lamina-associated polypeptide 2, isoforms beta/gamma; Thymopoietin; Thymopentin	7112	Q14860; Q14861; Q16295; P42166,P4; P08918; P08919; KEGG::7112
640388	Q15697	ZNF174	Zinc finger protein 174	7727	Q9BQ34; Q53Y68; KEGG::7727
641343	O95218	ZRANB2	Zinc finger Ran-binding domain-containing protein 2	9406	Q5VV33; Q5VV34; Q53GS3; Q59F92; D3DQ75; Q8IXN6; Q9UP63; KEGG::9406
175218	Q96LC9	BMF	Bcl-2-modifying factor	90427	Q6NT56; Q7Z7D5; Q7Z7D4; Q2M396; Q6P9F6; Q9H7K7; Q6NT30; KEGG::90427
92879	P36537	UGT2B10	UDP-glucuronosyltransferase 2B10	7365	B4DPP1; Q53GU2; A8K9M3; Q14CR8; KEGG::7365
566215	Q14656	TMEM187	Transmembrane protein 187	8269	Q6IAV7; B2RC47; KEGG::8269
532669	Q71RC9	SMIM5	Small integral membrane protein 5	643008	KEGG::643008
532661	B2RUZ4	SMIM1	Small integral membrane protein 1	388588	KEGG::388588
532662	Q9BVW6	SMIM2	Small integral membrane protein 2	-	Q5SZS7
532666	Q8WVI0	SMIM4	Small integral membrane protein 4	440957	KEGG::440957
361231	Q9BV57	ADI1	1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase	55256	Q53QD3; Q9NV57; Q7Z512; Q53HW3; Q57YV7; Q96P85; Q6ZSF7; D6W4Y3; Q68CK2; KEGG::55256
250358	Q9Y3I1	FBXO7	F-box only protein 7	25793	B4DWX5; Q5TI86; Q5TGC4; Q96HM6; Q9UKT2; B4DNB3; Q9UF21; KEGG::25793
399297	Q58A44	PCOTH	Protein PCOTH	542767	KEGG::542767
195605	Q13956	PDE6H	Retinal cone rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma	5149	Q52LY7; KEGG::5149
192083	Q6UXF7	CLEC18B	C-type lectin domain family 18 member B	497190	B4DF90; KEGG::497190
404367	Q8N414	PGBD5	PiggyBac transposable element-derived protein 5	79605	Q5SR37; A0PJF3; B9EK58; Q6PJN2; KEGG::79605
192085	Q6UXS0	CLEC19A	C-type lectin domain family 19 member A	-	Q0VF32
578482	Q6IBS0	TWF2	Twinfilin-2	11344	Q9Y3F5; KEGG::11344
518136	P82921	MRPS21	28S ribosomal protein S21, mitochondrial	54460	Q9BST6; Q5TB11; KEGG::54460
350510	Q9UMN6	WBP7	Histone-lysine N-methyltransferase MLL4	9757	Q9Y669; Q9Y668; Q96GP2; O15022; Q9UK25; Q96IP3; O95836; KEGG::9757
350512	Q8IZD2	MLL5	Histone-lysine N-methyltransferase MLL5	55904	Q86W12; Q86WG0; Q9NWE7; Q8IV78; Q8NFF8; Q8IWR5; B6ZDE4; Q6T316; Q6P5Y2; Q86WL2; Q86TI3; B6ZDM3; Q6PKG4; KEGG::55904
94021	Q9Y2M2	SSUH2	Protein SSUH2 homolog	51066	A6NFA9; F5H2S5; B3KS84; Q7Z7K4; B7Z6E3; KEGG::51066
94026	Q16816	PHKG1	Phosphorylase b kinase gamma catalytic chain, skeletal muscle/heart isoform	5260	B7Z6U2; F5H2S1; Q16816,Q7; B7Z1D0; Q75LP5; KEGG::5260
567160	P23510	TNFSF4	Tumor necrosis factor ligand superfamily member 4	7292	Q9HCN9; Q5JZA5; KEGG::7292
94024	P36957	DLST	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial	1743	B7Z6J1; Q9BQ32; Q7LDY7; KEGG::1743
94025	Q8NCE0	TSEN2	tRNA-splicing endonuclease subunit Sen2	80746	G5E9Q3; Q8WTW7; B7Z6K1; Q9BPU7; C9IZI7,Q8; C9IZI7; KEGG::80746
238130	Q14232	EIF2B1	Translation initiation factor eIF-2B subunit alpha	1967	A6NLY9; Q3SXP4; KEGG::1967
582906	P0C7P4	UQCRFS1P1	Putative cytochrome b-c1 complex subunit Rieske-like protein 1	-	-
54881	Q9NR16	CD163L1	Scavenger receptor cysteine-rich type 1 protein M160	283316	C9JHR7; Q2M3B7; Q6UWC2; KEGG::283316
89274	Q86UP2	KTN1	Kinectin	3895	Q15387; Q5GGW3,Q8; Q14707; B4DZ88; Q5GGW3; Q17RZ5; Q13999; Q86W57; KEGG::3895
148528	O15123	ANGPT2	Angiopoietin-2	285	Q9P2Y7; A0AV38; B7ZLM7; Q9NRR7; O15123,B7; A8K205; KEGG::285
301477	P31277	HOXD11	Homeobox protein Hox-D11	3237	A6NIS4; Q9NS02; KEGG::3237
301470	P28358	HOXD10	Homeobox protein Hox-D10	3236	Q6NT10; KEGG::3236
398745	Q3KNV8	PCGF3	Polycomb group RING finger protein 3	10336	O15262; D3DVN1; KEGG::10336
554881	P23381	WARS	Tryptophan--tRNA ligase, cytoplasmic; T1-TrpRS; T2-TrpRS	7453	A6NGN1; Q9UDI5; Q53XB6; Q9UDL3; A6NID3; Q502Y0; P78535; KEGG::7453
317199	Q09470	KCNA1	Potassium voltage-gated channel subfamily A member 1	3736	A6NM83; Q3MIQ9; KEGG::3736
398742	P35227	PCGF2	Polycomb group RING finger protein 2	7703	A6NGD8; KEGG::7703
67108	Q9HCU8	POLD4	DNA polymerase delta subunit 4	57804	Q6NSD7,Q9; F5H506; Q9BVB1; Q6NSD7; KEGG::57804
288047	Q9BXL5	HEMGN	Hemogen	55363	Q86XY5; Q9NPC0; Q6XAR3; KEGG::55363
404365	Q8N328	PGBD3	PiggyBac transposable element-derived protein 3	267004	Q6PIH0; Q5W0M0; B3KQC4; KEGG::267004
61690	Q9HC73	CRLF2; P2RY8/CRLF2 fusion; TSLPR	Cytokine receptor-like factor 2	64109	Q5G7M1; Q9H5R3; Q9HC73,D0; D0E2W4; KEGG::64109
537152	Q6ZRS2	SRCAP	Helicase SRCAP	10847	B0JZA6; O15026; Q7Z744; Q6ZRS2,Q9; Q9Y5L9; KEGG::10847
537156	P23327	HRC	Sarcoplasmic reticulum histidine-rich calcium-binding protein	3270	Q504Y6; KEGG::3270
537158	Q9C0H9	SRCIN1	SRC kinase signaling inhibitor 1	80725	Q8N4W8; Q75T46; KEGG::80725
377112	Q5VXU1	NKAIN2	Sodium/potassium-transporting ATPase subunit beta-1-interacting protein 2	154215	Q8IYR4; Q8TF67; KEGG::154215
597191	Q9Y5W5	WIF1	Wnt inhibitory factor 1	11197	Q8WVG4; Q6UXI1; KEGG::11197
570257	Q8WV44	TRIM41	E3 ubiquitin-protein ligase TRIM41	90933	B3KNJ6; Q96Q10; D3DWR9; Q8WV44,Q6; Q9BSL8; Q5BKT0; Q7L484; KEGG::90933
243772	P13804	ETFA	Electron transfer flavoprotein subunit alpha, mitochondrial	2108	Q53XN3; P13804,B4; B4DT43; KEGG::2108
390525	Q5SWX8	ODR4	Protein odr-4 homolog	54953	B4DNY0; Q9H6A6; Q9NX06; Q8WYB6; Q9BTS2; E9PFR7; Q19CC6; KEGG::54953
641330	Q8TCW7	ZPLD1	Zona pellucida-like domain-containing protein 1	131368	Q8WU36; Q49AS1; KEGG::131368
641337	O75312	ZNF259	Zinc finger protein ZPR1	8882	Q2TAA0; KEGG::8882
57317	P42081	CD86	T-lymphocyte activation antigen CD86	942	B7Z2F3; A8K632; Q6FHB1; B7Z702; Q7M4L5; Q6GTS4; Q13655; A0N0P0; KEGG::942
2727171	Q5T6W5	HNRNPK	-	-	-
57312	P33681	CD80	T-lymphocyte activation antigen CD80	941	A0N0P2; A0N0P2,P3; KEGG::941
407206	P43119	PTGIR	Prostacyclin receptor	5739	KEGG::5739
203771	P06850	CRH	Corticoliberin	1392	B3KQS4; KEGG::1392
86510	Q9H496; Q8NFQ8	IFRG15; TOR1AIP2	15 kDa interferon-responsive protein; Torsin-1A-interacting protein 2	163590	Q05BU2; Q8NFQ8,Q9; KEGG::163590
86512	P40305	IFI27	Interferon alpha-inducible protein 27, mitochondrial	3429	A8K0H0; A8K0H0,P4; Q6IEC1; Q96BK3; Q53YA6; KEGG::3429
86519	P09914	IFIT1	Interferon-induced protein with tetratricopeptide repeats 1	3434	P09914,Q5; Q5T7J1; Q96QM5; D3DR31; KEGG::3434
534075	Q07890	SOS2	Son of sevenless homolog 2	6655	Q17RN1; Q15503; D3DSB4; KEGG::6655
2650520	A8K394	-	-	-	-
2650522	A8K398	-	-	-	-
357634	Q9HD23	MRS2	Magnesium transporter MRS2 homolog, mitochondrial	57380	Q96KF8; A8K4U3; Q6NTG4; Q9BVP1; Q5T3Y1; B3KNN2; KEGG::57380
418123	P04070	PROC	Vitamin K-dependent protein C; Vitamin K-dependent protein C light chain; Vitamin K-dependent protein C heavy chain; Activation peptide	5624	Q16001; Q9UC55; Q53S74; Q15190; Q15189; KEGG::5624
289651	P49773	HINT1	Histidine triad nucleotide-binding protein 1	3094	Q9H5W8; KEGG::3094
178913	P05937	CALB1	Calbindin	793	P05937,B2; B2R696; KEGG::793
182345	Q96IY4	CPB2	Carboxypeptidase B2	1361	Q9P2Y6; Q15114; Q5T9K2; Q5T9K1; A8K464; KEGG::1361
91453	Q9NYK1	TLR7	Toll-like receptor 7	51284	B2R9N9; Q9NR98; Q9NYK1,B2; D1CS69; KEGG::51284
76762	Q5H8C1	FREM1	FRAS1-related extracellular matrix protein 1	158326	Q8NEG9; Q6MZI4; Q96LI3; B7ZBX4; Q5VV00; Q5VV01; KEGG::158326
338997	Q9H0U3	MAGT1	Magnesium transporter protein 1	84061	Q8NBN6; Q53G00; B2RAR4; D3DTE3; KEGG::84061
374924	Q8WTR8	NTN5	Netrin-5	126147	Q8WU63; Q8N4X9; KEGG::126147
528617	Q8WYJ6	SEPT1	Septin-1	1731	Q96EL4; Q9H285; Q8NEZ1; Q658T1; B4DVE6; KEGG::1731
399810	Q6L8Q7	PDE12	2',5'-phosphodiesterase 12	201626	Q8IYU3; Q8TE78; Q8NDU2; B4DTU8; KEGG::201626
524277	P30531	SLC6A1	Sodium- and chloride-dependent GABA transporter 1	6529	Q8N4K8; KEGG::6529
93474	Q86V25	VASH2	Vasohibin-2	79805	Q9H9W5; B4DYZ5; Q8IZ24; Q2VT46; Q5VTE7; Q5VTE9; Q7Z6E3; KEGG::79805
534078	Q9BQ15	NABP2	SOSS complex subunit B1	79035	Q6XYC8; A6NDF8; KEGG::79035
96097	P55327	PrLZ; TPD52	Tumor protein D52	7163	Q6FGS3; P55327,D0; Q9UCX8; B7Z414; E5RKB4; D0UFD4; Q53EK8; Q13056; Q6FGP3; Q86YZ2; KEGG::7163
415195	O75864	PPP1R37	Protein phosphatase 1 regulatory subunit 37	284352	B5MDA4; Q8TF16; Q8IWK3; KEGG::284352
570259	Q8IWZ5	TRIM42	Tripartite motif-containing protein 42	287015	Q8N832; Q8NDL3; A1L4B4; KEGG::287015
338993	Q9UJ55	MAGEL2	MAGE-like protein 2	-	-
206652	Q6GPI1	CTRB2	Chymotrypsinogen B2; Chymotrypsin B2 chain A; Chymotrypsin B2 chain B; Chymotrypsin B2 chain C	440387	A8K707; KEGG::440387
206658	Q99895	CTRC	Chymotrypsin-C	11330	A8K082; O00765; Q9NUH5; KEGG::11330
289415	Q93099	HGD	Homogentisate 1,2-dioxygenase	3081	B2R8Z0; KEGG::3081
355911	A8MV57	MPTX	Putative mucosal pentraxin homolog	-	-
338991	Q9H6Y5	MAGIX	PDZ domain-containing protein MAGIX	79917	A8MSX9; Q14C81; B7WP26; A6XND4; KEGG::79917
95411	Q9NQ55	PPAN; PPAN-P2RY11	Suppressor of SWI4 1 homolog	56342; 692312	Q9BW97; C9J3F9; Q9H170; KEGG::692312; KEGG::56342
92372	P53370	NUDT6	Nucleoside diphosphate-linked moiety X motif 6	11162	O95097; A8K756; Q9UQD9; B4DG76; KEGG::11162
522066	P23297	S100A1	Protein S100-A1	6271	P23297,B2; B2R5D9; Q5T7Y3; KEGG::6271
323187	Q9BQD3	KXD1	KxDL motif-containing protein 1	79036	O76098; KEGG::79036
639771	Q8IUH4	ZDHHC13	Palmitoyltransferase ZDHHC13	54503	Q7Z2D3; Q86VK2; Q9NV30; Q9NV99; KEGG::54503
489433	P52435	POLR2J	DNA-directed RNA polymerase II subunit RPB11-a	5439	A5D6V8; O43375; KEGG::5439
438711	Q7Z6E9	RBBP6	E3 ubiquitin-protein ligase RBBP6	5930	Q9H3I8; Q96PH3; Q6YNC9; Q9H5M5; Q6DKH4; Q147T5,Q7; Q7Z6E8; Q147T5; Q8N0V2; Q9NPX4; Q6P4C2; Q15290; KEGG::5930
323723	Q8WV93	LACE1	Lactation elevated protein 1	246269	Q8N6A3; KEGG::246269
310048	Q9Y5U9	IER3IP1	Immediate early response 3-interacting protein 1	51124	KEGG::51124
518483	Q9UHP6	RTDR1	Rhabdoid tumor deletion region protein 1	27156	KEGG::27156
88770	P43628	KIR2DL3	Killer cell immunoglobulin-like receptor 2DL3	3804	Q9UQ70; P43628,Q9; P78402; E3NZD8; Q14945; Q14944; O43472; Q9UM51; KEGG::3804
175408	Q9Y3E2	BOLA1	BolA-like protein 1	51027	B2R7K2; D3DUZ4; Q5QNY0; KEGG::51027
379242	O95436	SLC34A2	Sodium-dependent phosphate transport protein 2B	10568	Q9P0V7; A5PL17; Q8N2K2; Q8WYA9; KEGG::10568
379246	Q8N130	SLC34A3	Sodium-dependent phosphate transport protein 2C	142680	A2BFA1; KEGG::142680
321769	Q6L8H1	KRTAP5-4	Keratin-associated protein 5-4	387267	KEGG::387267
321767	Q6L8H2	KRTAP5-3	Keratin-associated protein 5-3	387266	Q701N3; Q6PL44; KEGG::387266
321765	Q701N4	KRTAP5-2	Keratin-associated protein 5-2	440021	A9JTZ1; KEGG::440021
321763	Q6L8H4	KRTAP5-1	Keratin-associated protein 5-1	387264	KEGG::387264
321762	Q9BYQ8	KRTAP4-9	Keratin-associated protein 4-9	100132386	KEGG::100132386
321761	Q9BYR0	KRTAP4-7	Keratin-associated protein 4-7	100996750	A8MQ08; A0AVM6; A8MTL4; KEGG::100996750
321760	Q9BYQ5	KRTAP4-6	Keratin-associated protein 4-6	81871	Q9BYR1; KEGG::81871
368171	Q9H1R3	MYLK2	Myosin light chain kinase 2, skeletal/cardiac muscle	85366	Q96I84; Q569L1; KEGG::85366
191833	Q8NBR9	C11orf72	Uncharacterized protein C11orf72	-	-
355919	O75352	MPDU1	Mannose-P-dolichol utilization defect 1 protein	9526	B3KQP1; Q9BUU8; KEGG::9526
191831	Q6IPW1	C11orf71	Uncharacterized protein C11orf71	54494	Q6IAD3; Q9NXX1; KEGG::54494
191835	Q86VG3	C11orf74	Uncharacterized protein C11orf74	119710	D3DR18; Q96DD6; KEGG::119710
388906	Q8NG76	OR2T33	Olfactory receptor 2T33	391195	B2RNN0; KEGG::391195
388907	Q8NGX1	OR2T34	Olfactory receptor 2T34	127068	Q96R31; B2RNJ8; Q6IEY5; KEGG::127068
388902	Q8NH01	OR2T11	Olfactory receptor 2T11	127077	Q6IEY6; KEGG::127077
388903	Q8NG77	OR2T12	Olfactory receptor 2T12	127064	KEGG::127064
388900	A6NND4	OR2AT4	Olfactory receptor 2AT4	341152	B9EGZ8; KEGG::341152
388901	Q8NGZ9	OR2T10	Olfactory receptor 2T10	127069	B2RNK7; KEGG::127069
91737	Q2M1K9	ZNF423	Zinc finger protein 423	23090	B3KNG7; Q2M1K9,B3; Q76N04; O94860; Q9NZ13; KEGG::23090
530375	Q9Y371	SH3GLB1	Endophilin-B1	51100	Q9NR47; Q9H3Z0; Q9NYA9; B4E182; Q5H8U5; KEGG::51100
381413	P46459	NSF	Vesicle-fusing ATPase	4905	Q9UKZ2; P46459,Q9; Q8N6D7; A8K2D9; KEGG::4905
192337	Q8IZS7	CLECL1	C-type lectin-like domain family 1	160365	KEGG::160365
580167	A6NCW0	USP17L3	Ubiquitin carboxyl-terminal hydrolase 17-like protein 3	645836	KEGG::645836
580164	Q7RTZ2	USP17L1P	Putative ubiquitin carboxyl-terminal hydrolase 17-like protein 1	401447	KEGG::401447
541690	Q6EEV6	SUMO4	Small ubiquitin-related modifier 4	387082	Q6EEV6,A1; A1L3W5; KEGG::387082
580168	A6NCW7	USP17L4	Inactive ubiquitin carboxyl-terminal hydrolase 17-like protein 4	645402	KEGG::645402
580169	A8MUK1	USP17L5	Ubiquitin carboxyl-terminal hydrolase 17-like protein 5	728386	KEGG::728386
46949	P54619	PRKAG1	5'-AMP-activated protein kinase subunit gamma-1	5571	Q8N7V9; B4DDT7; KEGG::5571
324848	P00338	LDHA	L-lactate dehydrogenase A chain	3939	Q9UDE8; Q6IBM7; B4DKQ2; Q9UDE9; A8MXQ4; B7Z5E3,P0; D3DQY3; Q6ZNV1; F8W819; B7Z5E3; Q53G53; KEGG::3939
268988	Q86VQ1	GLCCI1	Glucocorticoid-induced transcript 1 protein	113263	Q96FD0; A4D103; KEGG::113263
278257	Q4V328	GRIPAP1	GRIP1-associated protein 1	56850	A6NL78; Q4V330; Q3MJ75; Q4V327; Q9ULQ3; Q9NQ43; Q5HYG1; Q6N046; Q96DH8; KEGG::56850
289648	Q9BQA5	HINFP	Histone H4 transcription factor	25988	E9PQF4; Q96E65; B4DWB4; B3KPH6; Q9Y4M7; KEGG::25988
533078	O95473	SYNGR4	Synaptogyrin-4	23546	Q3KP58; KEGG::23546
239447	Q04743	EMX2	Homeobox protein EMX2	2018	Q96NN8; G3V305; Q9BQF4; KEGG::2018
